Start,Finish,Steps (count)
13-Sep-2014 00:00,14-Sep-2014 00:00,13132.0
14-Sep-2014 00:00,15-Sep-2014 00:00,23778.0
15-Sep-2014 00:00,16-Sep-2014 00:00,9459.0
16-Sep-2014 00:00,17-Sep-2014 00:00,12109.0
17-Sep-2014 00:00,18-Sep-2014 00:00,11904.0
18-Sep-2014 00:00,19-Sep-2014 00:00,8292.0
19-Sep-2014 00:00,20-Sep-2014 00:00,7304.0
20-Sep-2014 00:00,21-Sep-2014 00:00,12433.0
21-Sep-2014 00:00,22-Sep-2014 00:00,7520.0
22-Sep-2014 00:00,23-Sep-2014 00:00,9176.0
23-Sep-2014 00:00,24-Sep-2014 00:00,7697.0
24-Sep-2014 00:00,25-Sep-2014 00:00,10640.0
25-Sep-2014 00:00,26-Sep-2014 00:00,12087.0
26-Sep-2014 00:00,27-Sep-2014 00:00,7745.0
27-Sep-2014 00:00,28-Sep-2014 00:00,10438.0
28-Sep-2014 00:00,29-Sep-2014 00:00,9323.0
29-Sep-2014 00:00,30-Sep-2014 00:00,11888.0
30-Sep-2014 00:00,01-Oct-2014 00:00,10785.0
01-Oct-2014 00:00,02-Oct-2014 00:00,11977.0
02-Oct-2014 00:00,03-Oct-2014 00:00,6871.0
03-Oct-2014 00:00,04-Oct-2014 00:00,8660.0
04-Oct-2014 00:00,05-Oct-2014 00:00,9568.0
05-Oct-2014 00:00,06-Oct-2014 00:00,17670.0
06-Oct-2014 00:00,07-Oct-2014 00:00,13408.0
07-Oct-2014 00:00,08-Oct-2014 00:00,9765.0
08-Oct-2014 00:00,09-Oct-2014 00:00,0.0
09-Oct-2014 00:00,10-Oct-2014 00:00,656.0
10-Oct-2014 00:00,11-Oct-2014 00:00,15045.0
11-Oct-2014 00:00,12-Oct-2014 00:00,16236.0
12-Oct-2014 00:00,13-Oct-2014 00:00,17790.0
13-Oct-2014 00:00,14-Oct-2014 00:00,0.0
14-Oct-2014 00:00,15-Oct-2014 00:00,0.0
15-Oct-2014 00:00,16-Oct-2014 00:00,19956.0
16-Oct-2014 00:00,17-Oct-2014 00:00,13640.0
17-Oct-2014 00:00,18-Oct-2014 00:00,17442.0
18-Oct-2014 00:00,19-Oct-2014 00:00,12643.0
19-Oct-2014 00:00,20-Oct-2014 00:00,18035.0
20-Oct-2014 00:00,21-Oct-2014 00:00,13478.0
21-Oct-2014 00:00,22-Oct-2014 00:00,18460.0
22-Oct-2014 00:00,23-Oct-2014 00:00,18720.0
23-Oct-2014 00:00,24-Oct-2014 00:00,21547.0
24-Oct-2014 00:00,25-Oct-2014 00:00,12149.0
25-Oct-2014 00:00,26-Oct-2014 00:00,12159.0
26-Oct-2014 00:00,27-Oct-2014 00:00,8626.0
27-Oct-2014 00:00,28-Oct-2014 00:00,7899.0
28-Oct-2014 00:00,29-Oct-2014 00:00,10637.0
29-Oct-2014 00:00,30-Oct-2014 00:00,12188.0
30-Oct-2014 00:00,31-Oct-2014 00:00,8576.0
31-Oct-2014 00:00,01-Nov-2014 00:00,9488.0
01-Nov-2014 00:00,02-Nov-2014 00:00,13842.0
02-Nov-2014 00:00,03-Nov-2014 00:00,24923.0
03-Nov-2014 00:00,04-Nov-2014 00:00,15031.0
04-Nov-2014 00:00,05-Nov-2014 00:00,8018.0
05-Nov-2014 00:00,06-Nov-2014 00:00,8514.0
06-Nov-2014 00:00,07-Nov-2014 00:00,11701.0
07-Nov-2014 00:00,08-Nov-2014 00:00,11064.0
08-Nov-2014 00:00,09-Nov-2014 00:00,15899.0
09-Nov-2014 00:00,10-Nov-2014 00:00,12734.0
10-Nov-2014 00:00,11-Nov-2014 00:00,14482.0
11-Nov-2014 00:00,12-Nov-2014 00:00,11494.0
12-Nov-2014 00:00,13-Nov-2014 00:00,8416.0
13-Nov-2014 00:00,14-Nov-2014 00:00,9171.0
14-Nov-2014 00:00,15-Nov-2014 00:00,9414.0
15-Nov-2014 00:00,16-Nov-2014 00:00,12208.0
16-Nov-2014 00:00,17-Nov-2014 00:00,12595.0
17-Nov-2014 00:00,18-Nov-2014 00:00,7431.0
18-Nov-2014 00:00,19-Nov-2014 00:00,9154.0
19-Nov-2014 00:00,20-Nov-2014 00:00,11348.0
20-Nov-2014 00:00,21-Nov-2014 00:00,9568.0
21-Nov-2014 00:00,22-Nov-2014 00:00,8055.0
22-Nov-2014 00:00,23-Nov-2014 00:00,14881.0
23-Nov-2014 00:00,24-Nov-2014 00:00,10125.0
24-Nov-2014 00:00,25-Nov-2014 00:00,8723.0
25-Nov-2014 00:00,26-Nov-2014 00:00,6981.0
26-Nov-2014 00:00,27-Nov-2014 00:00,23736.0
27-Nov-2014 00:00,28-Nov-2014 00:00,6082.0
28-Nov-2014 00:00,29-Nov-2014 00:00,8085.0
29-Nov-2014 00:00,30-Nov-2014 00:00,11948.0
30-Nov-2014 00:00,01-Dec-2014 00:00,8413.0
01-Dec-2014 00:00,02-Dec-2014 00:00,12650.0
02-Dec-2014 00:00,03-Dec-2014 00:00,10395.0
03-Dec-2014 00:00,04-Dec-2014 00:00,7900.0
04-Dec-2014 00:00,05-Dec-2014 00:00,13514.0
05-Dec-2014 00:00,06-Dec-2014 00:00,6576.0
06-Dec-2014 00:00,07-Dec-2014 00:00,8506.0
07-Dec-2014 00:00,08-Dec-2014 00:00,10343.0
08-Dec-2014 00:00,09-Dec-2014 00:00,12290.0
09-Dec-2014 00:00,10-Dec-2014 00:00,10777.0
10-Dec-2014 00:00,11-Dec-2014 00:00,9253.0
11-Dec-2014 00:00,12-Dec-2014 00:00,15942.0
12-Dec-2014 00:00,13-Dec-2014 00:00,12585.0
13-Dec-2014 00:00,14-Dec-2014 00:00,13780.0
14-Dec-2014 00:00,15-Dec-2014 00:00,15058.0
15-Dec-2014 00:00,16-Dec-2014 00:00,9573.0
16-Dec-2014 00:00,17-Dec-2014 00:00,8111.0
17-Dec-2014 00:00,18-Dec-2014 00:00,8194.0
18-Dec-2014 00:00,19-Dec-2014 00:00,11671.0
19-Dec-2014 00:00,20-Dec-2014 00:00,13551.0
20-Dec-2014 00:00,21-Dec-2014 00:00,18846.0
21-Dec-2014 00:00,22-Dec-2014 00:00,18837.0
22-Dec-2014 00:00,23-Dec-2014 00:00,8398.0
23-Dec-2014 00:00,24-Dec-2014 00:00,11428.0
24-Dec-2014 00:00,25-Dec-2014 00:00,9740.0
25-Dec-2014 00:00,26-Dec-2014 00:00,6940.0
26-Dec-2014 00:00,27-Dec-2014 00:00,10003.0
27-Dec-2014 00:00,28-Dec-2014 00:00,9964.0
28-Dec-2014 00:00,29-Dec-2014 00:00,11663.0
29-Dec-2014 00:00,30-Dec-2014 00:00,13956.0
30-Dec-2014 00:00,31-Dec-2014 00:00,11026.0
31-Dec-2014 00:00,01-Jan-2015 00:00,13712.0
